"","REGION","PRIMARY_SAMPLE_UNIT","STATION_NR","YEAR","MONTH","DAY","HABITAT_CD","STRAT","RUGOSITY_CD","WTD_RUG","LAT_DEGREES","LON_DEGREES","MAPGRID_NR","SUB_REGION_NAME","SUB_REGION_NR","ZONE_NAME","ZONE_NR","MPA_NAME","MPA_NR","ADMIN","PROT","DEPTH_STRAT","MIN_DEPTH","MAX_DEPTH","METERS_COMPLETED","COVER_CAT_CD","COVER_CAT_NAME","HARDBOTTOM_P","SOFTBOTTOM_P","RUBBLE_P","MEAN_RUG","SPECIES_CD","SPECIES_NAME","N","JUV","MAX_DIAMETER","PERP_DIAMETER","HEIGHT","OLD_MORT","RECENT_MORT","BLEACH_CONDITION","DISEASE","REST_SITE","SurveyCode","MilSortCode"
"1","SEFCRI",3148,1,2014,9,17,"LIRM","MIDR0",0,0.276666666666667,25.835,-80.09225,"492738","Broward-Miami",13,NA,NA,NA,0,NA,0,NA,15.23999951232,15.8495994928128,15,"BAR SUB.","Bare Substrate",6,16,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2014-9-17-3148","2014-9-17-3148-1"
"2","SEFCRI",3148,1,2014,9,17,"LIRM","MIDR0",0,0.276666666666667,25.835,-80.09225,"492738","Broward-Miami",13,NA,NA,NA,0,NA,0,NA,15.23999951232,15.8495994928128,15,"CYA SPE.","Cyanophyta spp",15,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2014-9-17-3148","2014-9-17-3148-1"
"3","SEFCRI",3148,1,2014,9,17,"LIRM","MIDR0",0,0.276666666666667,25.835,-80.09225,"492738","Broward-Miami",13,NA,NA,NA,0,NA,0,NA,15.23999951232,15.8495994928128,15,"DIC SPE.","Dictyota spp",1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2014-9-17-3148","2014-9-17-3148-1"
"4","SEFCRI",3148,1,2014,9,17,"LIRM","MIDR0",0,0.276666666666667,25.835,-80.09225,"492738","Broward-Miami",13,NA,NA,NA,0,NA,0,NA,15.23999951232,15.8495994928128,15,"ERY CARY","Erythropodium caribaeorum",4,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2014-9-17-3148","2014-9-17-3148-1"
"5","SEFCRI",3148,1,2014,9,17,"LIRM","MIDR0",0,0.276666666666667,25.835,-80.09225,"492738","Broward-Miami",13,NA,NA,NA,0,NA,0,NA,15.23999951232,15.8495994928128,15,"EUS FAST","Eusmilia fastigiata",1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2014-9-17-3148","2014-9-17-3148-1"
"6","SEFCRI",3148,1,2014,9,17,"LIRM","MIDR0",0,0.276666666666667,25.835,-80.09225,"492738","Broward-Miami",13,NA,NA,NA,0,NA,0,NA,15.23999951232,15.8495994928128,15,"GOR GORG","Gorgonians",6,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2014-9-17-3148","2014-9-17-3148-1"
"7","SEFCRI",3148,1,2014,9,17,"LIRM","MIDR0",0,0.276666666666667,25.835,-80.09225,"492738","Broward-Miami",13,NA,NA,NA,0,NA,0,NA,15.23999951232,15.8495994928128,15,"HAL SPE.","Halimeda spp",2,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2014-9-17-3148","2014-9-17-3148-1"
"8","SEFCRI",3148,1,2014,9,17,"LIRM","MIDR0",0,0.276666666666667,25.835,-80.09225,"492738","Broward-Miami",13,NA,NA,NA,0,NA,0,NA,15.23999951232,15.8495994928128,15,"MIL SPE.","Millepora spp",2,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2014-9-17-3148","2014-9-17-3148-1"
"9","SEFCRI",3148,1,2014,9,17,"LIRM","MIDR0",0,0.276666666666667,25.835,-80.09225,"492738","Broward-Miami",13,NA,NA,NA,0,NA,0,NA,15.23999951232,15.8495994928128,15,"MON CAVE","Montastraea cavernosa",1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2014-9-17-3148","2014-9-17-3148-1"
"10","SEFCRI",3148,1,2014,9,17,"LIRM","MIDR0",0,0.276666666666667,25.835,-80.09225,"492738","Broward-Miami",13,NA,NA,NA,0,NA,0,NA,15.23999951232,15.8495994928128,15,"POF SPE.","Porifera spp",10,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2014-9-17-3148","2014-9-17-3148-1"
