"","REGION","PRIMARY_SAMPLE_UNIT","STATION_NR","YEAR","MONTH","DAY","HABITAT_CD","STRAT","RUGOSITY_CD","WTD_RUG","LAT_DEGREES","LON_DEGREES","MAPGRID_NR","SUB_REGION_NAME","SUB_REGION_NR","ZONE_NAME","ZONE_NR","MPA_NAME","MPA_NR","ADMIN","PROT","DEPTH_STRAT","MIN_DEPTH","MAX_DEPTH","METERS_COMPLETED","SPECIES_CD","SPECIES_NAME","N","JUV","MAX_DIAMETER","PERP_DIAMETER","HEIGHT","OLD_MORT","RECENT_MORT","BLEACH_CONDITION","DISEASE","SURVEY","SurveyCode","MilSortCode","BleachingPresAbs"
"1","FLK","5271501",1,2002,NA,NA,"SPGR_LR","FMLR",NA,NA,25.30453,-80.16287,1947251,"Biscayne",12,"Forereef",4,"Unprotected",0,NA,0,NA,3.624071884,3.624071884,10,"ACR CERV","Acropora cervicornis",0,0,NA,NA,NA,NA,NA,NA,NA,"SCREAM","2002-NA-NA-5271501","2002-NA-NA-5271501-1",1
"2","FLK","5421496",1,2002,NA,NA,"ISOL_MR","OFPR",NA,NA,25.33028,-80.17308,1954407,"Biscayne",12,"Offshore Patch Reef",3,"Unprotected",0,NA,0,NA,2.50850392,3.157727899,10,"ACR CERV","Acropora cervicornis",0,0,NA,NA,NA,NA,NA,NA,NA,"SCREAM","2002-NA-NA-5421496","2002-NA-NA-5421496-1",1
"3","FLK","5541503",1,2002,NA,NA,"ISOL_MR","MCPR",NA,NA,25.35158,-80.15918,1960181,"Biscayne",12,"Mid Channel",2,"BISC_SRZ",28,NA,1,NA,3.066287902,3.343655893,10,"ACR CERV","Acropora cervicornis",0,0,NA,NA,NA,NA,NA,NA,NA,"SCREAM","2002-NA-NA-5541503","2002-NA-NA-5541503-1",1
"4","FLK","5551512",1,2002,NA,NA,"SPGR_HR","HRRF",NA,NA,25.35377,-80.14148,1960662,"Biscayne",12,"Forereef",4,"BISC_SRZ",28,NA,1,NA,4.831079845,5.388863828,10,"ACR CERV","Acropora cervicornis",0,0,NA,NA,NA,NA,NA,NA,NA,"SCREAM","2002-NA-NA-5551512","2002-NA-NA-5551512-1",1
"5","FLK","5811518",1,2002,NA,NA,"SPGR_HR","HRRF",NA,NA,25.40155,-80.12993,1972462,"Biscayne",12,"Forereef",4,"BISC_MRZ",27,NA,1,NA,1.859279941,2.322575926,10,"ACR CERV","Acropora cervicornis",0,0,NA,NA,NA,NA,NA,NA,NA,"SCREAM","2002-NA-NA-5811518","2002-NA-NA-5811518-1",0
"6","FLK","5891520",1,2002,NA,NA,"CONT_LR","FMLR",NA,NA,25.41523,-80.12633,1975599,"Biscayne",12,"Forereef",4,"BISC_MRZ",27,NA,1,NA,2.136647932,2.694431914,10,"ACR CERV","Acropora cervicornis",0,0,NA,NA,NA,NA,NA,NA,NA,"SCREAM","2002-NA-NA-5891520","2002-NA-NA-5891520-1",1
"7","FLK","6391530",1,2002,NA,NA,"SPGR_HR","HRRF",NA,NA,25.50557,-80.1058,1991773,"Biscayne",12,"Forereef",4,"Unprotected",0,NA,0,NA,3.343655893,3.809999878,10,"ACR CERV","Acropora cervicornis",0,0,NA,NA,NA,NA,NA,NA,NA,"SCREAM","2002-NA-NA-6391530","2002-NA-NA-6391530-1",1
"8","FLK","6421523",1,2002,NA,NA,"ISOL_LR","OFPR",NA,NA,25.51113,-80.119,1992652,"Biscayne",12,"Offshore Patch Reef",3,"Unprotected",0,NA,0,NA,2.231135929,2.322575926,10,"ACR CERV","Acropora cervicornis",0,0,NA,NA,NA,NA,NA,NA,NA,"SCREAM","2002-NA-NA-6421523","2002-NA-NA-6421523-1",1
"9","FLK","6491532",1,2002,NA,NA,"SPGR_HR","HRRF",NA,NA,25.52413,-80.10237,1994614,"Biscayne",12,"Forereef",4,"Unprotected",0,NA,0,NA,3.43814389,3.715511881,10,"ACR CERV","Acropora cervicornis",0,0,NA,NA,NA,NA,NA,NA,NA,"SCREAM","2002-NA-NA-6491532","2002-NA-NA-6491532-1",1
"10","FLK","6611535",1,2002,NA,NA,"SPGR_LR","FMLR",NA,NA,25.54452,-80.09573,1997623,"Biscayne",12,"Forereef",4,"Unprotected",0,NA,0,NA,4.459223857,4.645151851,10,"ACR CERV","Acropora cervicornis",0,0,NA,NA,NA,NA,NA,NA,NA,"SCREAM","2002-NA-NA-6611535","2002-NA-NA-6611535-1",1
"11","FLK","6681530",1,2002,NA,NA,"CONT_LR","FMLR",NA,NA,25.55735,-80.10507,1999377,"Biscayne",12,"Forereef",4,"Unprotected",0,NA,0,NA,1.578863949,1.859279941,10,"ACR CERV","Acropora cervicornis",0,0,NA,NA,NA,NA,NA,NA,NA,"SCREAM","2002-NA-NA-6681530","2002-NA-NA-6681530-1",1
"12","FLK","6801537",1,2002,NA,NA,"SPGR_HR","HRRF",NA,NA,25.57832,-80.09198,2002252,"Biscayne",12,"Forereef",4,"Unprotected",0,NA,0,NA,4.736591848,5.852159813,10,"ACR CERV","Acropora cervicornis",0,0,NA,NA,NA,NA,NA,NA,NA,"SCREAM","2002-NA-NA-6801537","2002-NA-NA-6801537-1",1
"13","FLK","7051536",1,2002,NA,NA,"SPGR_HR","HRRF",NA,NA,25.62403,-80.09333,2008589,"Biscayne",12,"Forereef",4,"Unprotected",0,NA,0,NA,3.252215896,3.529583887,10,"ACR CERV","Acropora cervicornis",0,0,NA,NA,NA,NA,NA,NA,NA,"SCREAM","2002-NA-NA-7051536","2002-NA-NA-7051536-1",0
"14","FLK","7401535",1,2002,NA,NA,"ISOL_MR","FMLR",NA,NA,25.68667,-80.09577,2016844,"Biscayne",12,"Forereef",4,"Unprotected",0,NA,0,NA,2.694431914,3.157727899,10,"ACR CERV","Acropora cervicornis",0,0,NA,NA,NA,NA,NA,NA,NA,"SCREAM","2002-NA-NA-7401535","2002-NA-NA-7401535-1",1
"15","FLK","70",167,2005,8,22,"SPGR_HR","HRRF",NA,NA,25.40215,-80.13223,1972669,"Biscayne",12,"Forereef",4,"BISC_MRZ",27,NA,1,NA,8.2021,8.2021,10,"ACR CERV","Acropora cervicornis",0,0,NA,NA,NA,NA,NA,NA,NA,"DRM","2005-8-22-70","2005-8-22-70-167",1
"16","FLK","73",172,2005,8,22,"SPGR_LR","FMLR",NA,NA,25.3883,-80.13338,1969450,"Biscayne",12,"Forereef",4,"BISC_MRZ",27,NA,1,NA,29.52756,29.52756,10,"ACR CERV","Acropora cervicornis",0,0,NA,NA,NA,NA,NA,NA,NA,"DRM","2005-8-22-73","2005-8-22-73-172",1
"17","FLK","75",174,2005,8,22,"SPGR_LR","FMLR",NA,NA,25.5791,-80.09177,2002375,"Biscayne",12,"Forereef",4,"Unprotected",0,NA,0,NA,45.93176,45.93176,10,"ACR CERV","Acropora cervicornis",0,0,NA,NA,NA,NA,NA,NA,NA,"DRM","2005-8-22-75","2005-8-22-75-174",1
