"","PRIMARY_SAMPLE_UNIT","YEAR","MONTH","DAY","LAT_DEGREES","LON_DEGREES"
"1",1010,2022,8,31,"25.7375","-80.118"
"2",1011,2015,5,28,"25.3451","-80.1943"
"3",1011,2022,8,31,"25.7347","-80.115"
"4",1012,2016,12,8,"25.3102","-80.2186"
"5",1013,2015,8,15,"25.4553","-80.1434"
"6",1015,2015,6,6,"25.4604","-80.1355"
"7",1017,2015,6,6,"25.4679","-80.1411"
"8",1018,2018,9,26,"25.3322","-80.2334"
"9",1027,2022,8,18,"25.4928","-80.1408"
"10",1029,2015,8,19,"25.3271","-80.1624"
"11",1033,2015,8,16,"25.624","-80.0994"
"12",1033,2016,11,4,"25.6122","-80.1063"
"13",1036,2015,8,19,"25.3223","-80.1824"
"14",1039,2015,8,16,"25.5754","-80.0994"
"15",1039,2016,12,2,"25.3848","-80.1535"
"16",1042,2015,6,7,"25.5893","-80.0965"
"17",1043,2015,8,15,"25.4614","-80.1182"
"18",1049,2016,12,2,"25.4162","-80.1446"
"19",1051,2015,8,16,"25.5363","-80.1038"
"20",1052,2015,8,16,"25.5905","-80.0987"
"21",1053,2015,8,19,"25.2978","-80.1648"
"22",1055,2015,6,5,"25.349","-80.1453"
"23",1056,2015,6,7,"25.5914","-80.096"
"24",1056,2016,12,8,"25.3245","-80.1618"
"25",1065,2015,6,11,"25.3814","-80.1682"
"26",1065,2016,12,1,"25.4319","-80.1314"
"27",1066,2015,6,11,"25.3809","-80.164"
"28",1079,2015,5,29,"25.4171","-80.1275"
"29",1080,2018,11,27,"25.6613","-80.1025"
"30",1082,2015,8,14,"25.3726","-80.1373"
"31",1082,2018,9,26,"25.3498","-80.1637"
"32",1083,2015,5,29,"25.4015","-80.1329"
"33",1085,2016,12,1,"25.4009","-80.1288"
"34",1085,2018,9,25,"25.3689","-80.1815"
"35",1086,2015,5,29,"25.4097","-80.1289"
"36",1086,2018,10,25,"25.4707","-80.136"
"37",1087,2015,8,15,"25.437","-80.1206"
"38",1089,2018,9,25,"25.3545","-80.1384"
"39",1091,2018,9,25,"25.3743","-80.1824"
"40",1093,2016,12,1,"25.4578","-80.1126"
"41",1095,2018,9,27,"25.4139","-80.1583"
