"","PRIMARY_SAMPLE_UNIT","LAT_DEGREES","LON_DEGREES"
"1",1010,"25.7375","-80.1180"
"2",1011,"25.3451","-80.1943"
"3",1011,"25.7347","-80.1150"
"4",1012,"25.3102","-80.2186"
"5",1013,"25.4553","-80.1434"
"6",1015,"25.4604","-80.1355"
"7",1017,"25.4679","-80.1411"
"8",1018,"25.3322","-80.2334"
"9",1027,"25.4928","-80.1408"
"10",1029,"25.3271","-80.1624"
"11",1033,"25.6240","-80.0994"
"12",1033,"25.6122","-80.1063"
"13",1036,"25.3223","-80.1824"
"14",1039,"25.5754","-80.0994"
"15",1039,"25.3848","-80.1535"
"16",1042,"25.5893","-80.0965"
"17",1043,"25.4614","-80.1182"
"18",1049,"25.4162","-80.1446"
"19",1051,"25.5363","-80.1038"
"20",1052,"25.5905","-80.0987"
"21",1053,"25.2978","-80.1648"
"22",1055,"25.3490","-80.1453"
"23",1056,"25.5914","-80.0961"
"24",1056,"25.3245","-80.1618"
"25",1065,"25.3814","-80.1682"
"26",1065,"25.4319","-80.1314"
"27",1066,"25.3809","-80.1639"
"28",1079,"25.4171","-80.1275"
"29",1080,"25.6613","-80.1025"
"30",1082,"25.3726","-80.1373"
"31",1082,"25.3498","-80.1637"
"32",1083,"25.4015","-80.1329"
"33",1085,"25.4009","-80.1288"
"34",1085,"25.3689","-80.1815"
"35",1086,"25.4097","-80.1289"
"36",1086,"25.4707","-80.1360"
"37",1087,"25.4370","-80.1206"
"38",1089,"25.3545","-80.1384"
"39",1091,"25.3743","-80.1824"
"40",1093,"25.4578","-80.1126"
"41",1095,"25.4139","-80.1583"
"42",1096,"25.3654","-80.1710"
"43",1097,"25.4094","-80.1514"
"44",1098,"25.3679","-80.1697"
"45",1100,"25.3696","-80.1734"
"46",1100,"25.3742","-80.1516"
"47",1101,"25.3740","-80.1764"
"48",1101,"25.3770","-80.1349"
"49",1101,"25.4230","-80.1573"
"50",1102,"25.3688","-80.1513"
"51",1108,"25.3670","-80.1406"
"52",1112,"25.3599","-80.1523"
"53",1115,"25.3548","-80.1525"
"54",1123,"25.3755","-80.1376"
"55",1130,"25.5374","-80.1137"
"56",1140,"25.6597","-80.0879"
"57",1155,"25.3358","-80.1512"
"58",1159,"25.4393","-80.1216"
"59",1161,"25.4347","-80.1231"
"60",1162,"25.7285","-80.1033"
"61",1168,"25.5887","-80.0973"
"62",1185,"25.5673","-80.1048"
"63",1190,"25.7113","-80.0872"
"64",1225,"25.5648","-80.0982"
"65",1226,"25.7295","-80.1003"
"66",1230,"25.5635","-80.0985"
"67",1241,"25.2941","-80.1714"
"68",1303,"25.2939","-80.1631"
"69",1306,"25.4002","-80.1316"
"70",1313,"25.4816","-80.1079"
"71",1316,"25.5831","-80.0925"
"72",1359,"25.5427","-80.0987"
"73",1363,"25.5689","-80.1005"
"74",1397,"25.4967","-80.1040"
"75",1398,"25.4669","-80.1102"
"76",1400,"25.6004","-80.0903"
"77",1491,"25.3335","-80.2253"
"78",1517,"25.3349","-80.2374"
"79",1519,"25.4646","-80.1699"
"80",1523,"25.5863","-80.0943"
"81",1524,"25.4671","-80.1249"
"82",1525,"25.4727","-80.1264"
"83",1526,"25.5711","-80.1050"
"84",1527,"25.5803","-80.0965"
"85",1530,"25.4867","-80.1137"
"86",1531,"25.4666","-80.1110"
"87",1547,"25.4032","-80.1295"
"88",1554,"25.3956","-80.1299"
"89",1563,"25.3674","-80.1521"
"90",1563,"25.4554","-80.1568"
"91",1566,"25.3654","-80.1400"
"92",1568,"25.3572","-80.1519"
"93",1570,"25.3571","-80.1410"
"94",1630,"25.6077","-80.0972"
"95",1642,"25.7542","-80.1021"
"96",1668,"25.4659","-80.1184"
"97",1669,"25.3876","-80.1356"
"98",1714,"25.4691","-80.1105"
"99",3021,"25.9260","-80.1054"
"100",3030,"25.8721","-80.1119"
"101",3036,"25.8092","-80.0997"
"102",3037,"25.8066","-80.1075"
"103",3039,"25.9457","-80.1024"
"104",3040,"25.8037","-80.0914"
"105",3047,"25.9449","-80.1033"
"106",3053,"25.8427","-80.1042"
"107",3057,"25.8609","-80.0996"
"108",3059,"25.9539","-80.1003"
"109",3061,"25.9607","-80.1022"
"110",3063,"25.8526","-80.0998"
"111",3064,"25.8688","-80.1046"
"112",3065,"25.8644","-80.0990"
"113",3066,"25.8547","-80.0997"
"114",3066,"25.8882","-80.1008"
"115",3067,"25.8312","-80.0933"
"116",3067,"25.9571","-80.0999"
"117",3074,"25.8966","-80.1013"
"118",3075,"25.8549","-80.1056"
"119",3076,"25.8888","-80.1018"
"120",3077,"25.8738","-80.1005"
"121",3078,"25.9275","-80.0999"
"122",3083,"25.8377","-80.0995"
"123",3085,"25.9054","-80.0907"
"124",3089,"25.7697","-80.0883"
"125",3097,"25.8221","-80.0912"
"126",3101,"25.9322","-80.1002"
"127",3105,"25.8614","-80.0926"
"128",3109,"25.8770","-80.0924"
"129",3110,"25.8716","-80.0925"
"130",3112,"25.8257","-80.0977"
"131",3117,"25.7994","-80.0926"
"132",3118,"25.8603","-80.0926"
"133",3121,"25.9081","-80.0918"
"134",3125,"25.8568","-80.0921"
"135",3129,"25.7709","-80.1109"
"136",3131,"25.7873","-80.1071"
"137",3133,"25.8536","-80.1076"
"138",3134,"25.7953","-80.0996"
"139",3136,"25.8887","-80.1073"
"140",3137,"25.9502","-80.1093"
"141",3138,"25.9514","-80.1102"
"142",3138,"25.8117","-80.1094"
"143",3140,"25.7868","-80.1027"
"144",3143,"25.9167","-80.0919"
"145",3143,"25.9145","-80.1154"
"146",3144,"25.9150","-80.0986"
"147",3145,"25.9019","-80.0997"
"148",3146,"25.8991","-80.0922"
"149",3147,"25.8978","-80.0997"
"150",3148,"25.8350","-80.0923"
"151",3148,"25.8848","-80.1088"
"152",3148,"25.8003","-80.1080"
"153",3149,"25.7894","-80.0931"
"154",3149,"25.8992","-80.1058"
"155",3150,"25.7882","-80.0881"
"156",3150,"25.9133","-80.1021"
"157",3152,"25.7950","-80.1125"
"158",3153,"25.8648","-80.1105"
"159",3159,"25.9052","-80.1094"
"160",3166,"25.7877","-80.1075"
"161",3167,"25.9452","-80.0939"
"162",3174,"25.7953","-80.0996"
"163",3175,"25.9372","-80.1110"
"164",3178,"25.8929","-80.1171"
"165",3188,"25.8346","-80.0890"
"166",3191,"25.8637","-80.0884"
"167",3192,"25.8154","-80.0902"
"168",3213,"25.7761","-80.0894"
